horizon,condition,classification,episode_count,condition_days_total,btc_mean_episode_return,gold_mean_episode_return,btc_median_episode_return,gold_median_episode_return,spread_mean_episode,spread_ci95_lo,spread_ci95_hi,minimum_anchor_gap_sessions,non_overlapping_selected_windows
1,baa_credit_widening_top_10pct,market_observable,207,262,-0.0015547816541536905,0.004505973999214622,0.0005027644188633218,0.003977268335422224,-0.006060755653368313,-0.012565620171180389,0.0003357752895848342,2,True
1,baa_credit_widening_top_5pct,market_observable,134,171,-0.0006074665853210041,0.004926434281889809,0.0017949914378903031,0.0037722004555305055,-0.005533900867210812,-0.014026640813143998,0.003077997799517324,2,True
1,dollar_fall_bottom_10pct,market_observable,198,227,0.01079705796510543,0.0066615473882084475,0.009027885628765553,0.006311379858866317,0.0041355105768969835,-0.0006560886009473444,0.008817770908874117,2,True
1,equity_bottom_10pct,market_observable,193,227,-0.021895183211627443,-0.0019747460641254882,-0.01667613892299258,-0.0016493806069401984,-0.019920437147501954,-0.026809925275892946,-0.013091887817167499,2,True
1,equity_bottom_5pct,market_observable,99,114,-0.031308354303295316,-0.0009700383862069477,-0.026908592225039385,-0.001616846252669113,-0.030338315917088368,-0.04256185243983082,-0.01925808912182707,2,True
1,hy_oas_recent_widening_top_10pct,recent_window_only,58,76,-0.019339454480502713,0.002689926685450378,-0.020395849906717167,0.00037024602223967307,-0.022029381165953092,-0.03134841397309621,-0.013000027070813516,2,True
1,nfci_ex_post_stress_top_10pct,EX_POST_REVISED_NFCI,12,214,-0.007539357825038007,-0.00035328706365260015,-0.020100612590161937,0.00013395257979853525,-0.007186070761385406,-0.033989136411112474,0.02380845694533989,5,True
1,real_rate_rise_top_10pct,market_observable,184,228,-0.0017966512547962607,-0.0058816786628948445,-0.0008018978981203517,-0.005096896845816268,0.004085027408098583,-0.0022747035044397607,0.010089255068316996,2,True
1,vix_change_top_10pct,market_observable,201,227,-0.021321079589247137,-0.0007293072971638263,-0.016921098075442842,-0.0005079436043828878,-0.02059177229208331,-0.028325159707755825,-0.013057492924833268,2,True
1,vix_change_top_5pct,market_observable,108,114,-0.03195112842660404,-0.0003745443594385523,-0.027650952063335232,1.625291488105418e-05,-0.031576584067165486,-0.043560315028740255,-0.02096475146901338,2,True
1,vix_level_ge_30,market_observable,27,153,-0.044465209482970086,0.0010740983889660966,-0.035599822209373855,0.0015238553873304639,-0.04553930787193618,-0.06817797355429397,-0.024775431371461026,2,True
5,baa_credit_widening_top_10pct,market_observable,56,231,-0.01798197730144532,0.010213257855016542,-0.021613838453040657,0.009494882851666109,-0.02819523515646186,-0.05433854473518757,-0.0011868947031695067,8,True
5,baa_credit_widening_top_5pct,market_observable,34,118,-0.019648346708605203,0.013176072626549766,-0.024378032978226827,0.015701197022397473,-0.03282441933515497,-0.069389520088471,0.004261527384865038,8,True
5,dollar_fall_bottom_10pct,market_observable,76,225,0.028029057802220238,0.019088770637351704,0.03072717720715268,0.018284179223273078,0.008940287164868534,-0.011718980161474364,0.028499946262035936,5,True
5,equity_bottom_10pct,market_observable,65,225,-0.04239401678169033,-0.00423339061633664,-0.0210628802753714,-0.0008764567369317078,-0.03816062616535369,-0.06568097767157835,-0.008926780860952548,8,True
5,equity_bottom_5pct,market_observable,37,113,-0.07300706786048754,-0.005235779942356559,-0.06481172776544142,-0.0008764567369317078,-0.06777128791813099,-0.11075425724028934,-0.02532671290436252,8,True
5,hy_oas_recent_widening_top_10pct,recent_window_only,22,75,-0.054799541216337004,-0.0035047060166396482,-0.04449820003645666,0.0010013989193105033,-0.05129483519969735,-0.08580096250552229,-0.01702579509166144,9,True
5,nfci_ex_post_stress_top_10pct,EX_POST_REVISED_NFCI,5,214,-0.00845263169145447,0.01639231058131969,-0.014097972532422176,-0.0013194269243843593,-0.024844942272774163,-0.036374699981757,-0.013315184563791327,62,True
5,real_rate_rise_top_10pct,market_observable,63,229,-0.014375787423049242,-0.017781693764657887,-0.004070776942112886,-0.013265864502955083,0.0034059063416086426,-0.020435197166567935,0.025255884155223864,9,True
5,vix_change_top_10pct,market_observable,78,225,-0.04460161335735675,-0.0025002922174131768,-0.03114878869497595,0.0032037732656120532,-0.04210132113994357,-0.06637722994562825,-0.017003402699759265,6,True
5,vix_change_top_5pct,market_observable,43,113,-0.04792069684680853,-0.002704703369285697,-0.048391021210322904,8.2522473493718e-05,-0.04521599347752283,-0.08068522941278976,-0.009071314865485083,9,True
5,vix_level_ge_30,market_observable,17,153,-0.1283275505980481,-0.010557669521591376,-0.10041362179656943,-0.0050381858582504435,-0.11776988107645672,-0.18765322431487488,-0.0532153714492557,21,True
20,baa_credit_widening_top_10pct,market_observable,17,231,-0.13010832439222592,0.00350213783889064,-0.1222959488729849,0.015875420341756374,-0.13361046223111656,-0.23735968206983105,-0.035738552592650526,36,True
20,baa_credit_widening_top_5pct,market_observable,11,112,-0.12648813485029223,0.004978228312883152,-0.11520005599311034,0.017598246763144587,-0.13146636316317536,-0.28680263179812177,0.012723048187140611,36,True
20,dollar_fall_bottom_10pct,market_observable,27,222,0.06783799487818255,0.048425089788064035,0.09110179648478756,0.04305632983010099,0.019412905090118525,-0.06040575628465999,0.09635024862959424,26,True
20,equity_bottom_10pct,market_observable,18,222,-0.06886885505635565,-0.0064468749072119635,-0.03625762152134904,0.007777268737487741,-0.062421980149143685,-0.13774796091543495,0.015637111154118595,44,True
20,equity_bottom_5pct,market_observable,11,111,-0.10415352777148454,-0.011729856468064752,-0.04692772958775926,0.005410221791558811,-0.09242367130341979,-0.20007105544323994,0.023436403986385395,29,True
20,hy_oas_recent_widening_top_10pct,recent_window_only,8,74,-0.03094845639245425,0.020300305075490077,-0.024345349273017902,0.03137635675915362,-0.051248761467944326,-0.14104844610014666,0.0305279293376093,30,True
20,nfci_ex_post_stress_top_10pct,EX_POST_REVISED_NFCI,5,213,-0.17640604791915707,0.027432016812388403,-0.13613162669969192,0.020889824811205493,-0.20383806473154548,-0.4186395104341221,-0.057339658993392995,62,True
20,real_rate_rise_top_10pct,market_observable,15,223,-0.020120928421386235,-0.024778868447567957,-0.018479382974973646,-0.03961028968689462,0.0046579400261817245,-0.08661905528951122,0.10769806157394306,40,True
20,vix_change_top_10pct,market_observable,26,222,-0.09112145884749644,0.0030618151114208533,-0.07373829928483833,0.0005955115632358954,-0.09418327395891729,-0.1969523044017593,-0.0026701572340750456,25,True
20,vix_change_top_5pct,market_observable,19,111,-0.11073078905154572,0.011769622157432286,-0.07673439884074895,0.006871162722085877,-0.122500411208978,-0.25935727029529204,0.0035019783899785796,25,True
20,vix_level_ge_30,market_observable,13,153,-0.16086072998413875,-0.014239667038575855,-0.07673439884074895,-0.006000257880010018,-0.1466210629455629,-0.3293927320649698,0.002629870864180116,38,True
