reference_month,release_date,trading_date,cpi_yoy,inflation_acceleration,btc_return_release_day,gold_return_release_day,cpi_yoy_quintile,inflation_acceleration_quintile
2017-08-01,2017-09-14,2017-09-14,0.019389742120581754,0.002109957556856834,-0.14125036462666785,0.004369098124020532,2.0,4.0
2017-09-01,2017-10-13,2017-10-13,0.022329638650032235,0.002939896529450481,0.0431493709067059,0.007539254296556663,2.0,4.0
2017-10-01,2017-11-15,2017-11-15,0.020411287019761692,-0.0019183516302705428,0.09762786851436722,-0.0012346702455863223,2.0,2.0
2017-11-01,2017-12-13,2017-12-13,0.02202582938683184,0.0016145423670701486,-0.059544756703195034,0.008596013189973384,2.0,4.0
2017-12-01,2018-01-12,2018-01-12,0.021090824745684245,-0.0009350046411475965,0.034821903851572245,0.012044492942166585,2.0,2.0
2018-01-01,2018-02-14,2018-02-14,0.020705076202751638,-0.00038574854293260685,0.06445685197499351,0.016908852519764928,2.0,3.0
2018-02-01,2018-03-13,2018-03-13,0.022117954212386604,0.0014128780096349658,0.015280546282877339,0.001909899228191847,2.0,4.0
2018-03-01,2018-04-11,2018-04-11,0.023597114039729084,0.00147915982734248,0.010180394467052878,0.0077577307979446175,2.0,4.0
2018-04-01,2018-05-10,2018-05-10,0.02462743943334811,0.0010303253936190249,-0.022237421792176804,0.00681336824222889,2.0,3.0
2018-05-01,2018-06-12,2018-06-12,0.028010117148075553,0.0033826777147274445,-0.03822465797879104,-0.003332688774722037,3.0,5.0
2018-06-01,2018-07-12,2018-07-12,0.0287154783531669,0.0007053612050913483,-0.02736911871791925,0.004156581212429344,3.0,3.0
2018-07-01,2018-08-10,2018-08-10,0.029495150866471143,0.0007796725133042415,-0.01054532302677913,-0.00043582289228183413,3.0,3.0
2018-08-01,2018-09-13,2018-09-13,0.026991801041874375,-0.002503349824596768,0.021322061094636524,-0.003597564816940846,3.0,2.0
2018-09-01,2018-10-11,2018-10-11,0.022769721941990007,-0.004222079099884368,-0.051931239180172284,0.025366544894875886,2.0,1.0
2018-10-01,2018-11-14,2018-11-14,0.025224699286070296,0.002454977344080289,-0.1175505574034652,0.008233404279792467,3.0,4.0
2018-11-01,2018-12-12,2018-12-12,0.021766010321524032,-0.0034586889645462637,0.019829629552608807,0.002124676769657441,2.0,1.0
2018-12-01,2019-01-11,2019-01-11,0.019101588486313714,-0.0026644218352103177,0.0073479677745975636,0.0017256811414601003,1.0,1.0
2019-01-01,2019-02-13,2019-02-13,0.015512351381991252,-0.0035892371043224625,-0.01281888433783962,-0.0039639080913298486,1.0,1.0
2019-02-01,2019-03-12,2019-03-12,0.01520135265933309,-0.0003109987226581623,0.006491422530377378,0.006035459879401905,1.0,3.0
2019-03-01,2019-04-10,2019-04-10,0.018625227405691724,0.003423874746358635,0.03742409836653415,0.0030808947099307815,1.0,5.0
2019-04-01,2019-05-10,2019-05-10,0.019964397755302565,0.001339170349610841,0.04362208304700488,0.0018959191232168493,2.0,4.0
2019-05-01,2019-06-12,2019-06-12,0.017902284687663972,-0.0020621130676385935,0.031258741369269316,0.005179100221238464,1.0,2.0
