horizon,factor,factor_label,quantile,n,factor_min,factor_median,factor_max,btc_mean,btc_median,btc_vol,btc_p05,btc_es05,btc_positive_share,gold_mean,gold_median,gold_vol,gold_p05,gold_es05,gold_positive_share,mean_spread_btc_minus_gold
1,equity,Actions américaines,1,453,-0.1276521411564726,-0.011631213479601499,-0.005875362532782091,-0.015070980354067155,-0.01206433637418236,0.043212931641551676,-0.08664998455286507,-0.13064938199059353,0.3068432671081678,-0.0007175483203061376,-0.0008195726363133815,0.012926295922343544,-0.020141561686436837,-0.03106420007517991,0.45916114790286977,-0.014353432033761018
1,equity,Actions américaines,2,452,-0.005858531424819624,-0.0028265827176490177,-0.0008126796836602779,-0.00044858696821628943,-0.003960674088353322,0.043149533683013774,-0.06062519142151786,-0.09724074186800094,0.4446902654867257,-0.0004269717262955332,0.0007393408160063508,0.010443999250880772,-0.016836081708867835,-0.02743080424411424,0.5486725663716814,-2.1615241920756216e-05
1,equity,Actions américaines,3,452,-0.0007977889372803304,0.00089276932941873,0.0026321125222388275,0.0019518440146671205,0.0008639003774604248,0.03861620889055484,-0.06034725638069727,-0.08912778122967,0.5132743362831859,0.00040904262187897565,0.0005648306797345626,0.008569183660644844,-0.011288206026373704,-0.01925420766208624,0.5442477876106194,0.0015428013927881448
1,equity,Actions américaines,4,452,0.002635318442213652,0.004902417743073428,0.007888276759113744,0.007123504149528675,0.005046958878096142,0.03860423487005335,-0.046979372583136315,-0.08168790507652662,0.5951327433628318,0.0017652098504518639,0.0019161761420853907,0.009315641268832638,-0.014911456345034458,-0.019942139907711,0.5929203539823009,0.0053582942990768115
1,equity,Actions américaines,5,453,0.007889040694017524,0.01181191705979856,0.09089490164871528,0.012641454732172484,0.011352783895544505,0.03533480850897618,-0.042790820198579375,-0.07345935228793203,0.6666666666666666,0.0017250625904271723,0.0009563496666089577,0.010867472901148544,-0.015005672496952548,-0.02307191629511016,0.5607064017660044,0.010916392141745312
1,usd,Dollar large,1,453,-0.019099173567123096,-0.003493425370439951,-0.002113469914627686,0.009273780540454482,0.007968368818907834,0.03844104862638792,-0.04472492118148956,-0.08412625590680294,0.6291390728476821,0.005299232509640734,0.004527577262521731,0.010060350060786002,-0.008128515175936357,-0.01672276102583623,0.739514348785872,0.003974548030813748
1,usd,Dollar large,2,452,-0.0021073209381086144,-0.0013459676780973595,-0.0006467014894973033,0.006253138434322649,0.0037865933093055304,0.039796833754763075,-0.054674897332766204,-0.07729890739012808,0.5619469026548672,0.003121843349763047,0.002727662743473136,0.009064823596658328,-0.009627148165557564,-0.016329219024224698,0.6482300884955752,0.003131295084559602
1,usd,Dollar large,3,452,-0.0006452934635596819,-3.560984044570503e-05,0.0006071832603966598,0.0008183554685728375,-3.32333501820159e-05,0.039827052496052395,-0.06050163761114824,-0.09771850204381069,0.49557522123893805,0.00109485343960664,0.0017624891600691583,0.008822811137785764,-0.012947346172961671,-0.0198525729943094,0.588495575221239,-0.0002764979710338024
1,usd,Dollar large,4,452,0.0006168119537601768,0.0013999669981012985,0.002263024300786398,-0.004117437794645489,-0.0033927742204502565,0.04100110153258755,-0.06268452489421214,-0.11129014560578794,0.42920353982300885,-0.0016818578671935756,-0.0009006816304917287,0.009749023247333656,-0.017251459643517465,-0.028681351259462525,0.4491150442477876,-0.0024355799274519132
1,usd,Dollar large,5,453,0.00226732888843717,0.0036740379355038044,0.018747397088045403,-0.0060431236024071295,-0.004613453151007363,0.04351495494753193,-0.07268662901621106,-0.1130111312469047,0.4105960264900662,-0.005077537876640326,-0.004332950273532532,0.01172134945554327,-0.02173824678107632,-0.0326969214527173,0.2803532008830022,-0.0009655857257668031
