model,sample,horizon,winsorized,factor,factor_label,n,btc_beta,btc_se,btc_p,gold_beta,gold_se,gold_p,delta_beta,delta_se,delta_t,delta_p,btc_r2,gold_r2,excluded_year,full_core_n,rows_removed_calendar,rows_removed_regression
core_leave_one_year_out,exclude_2017,1,False,equity,Actions américaines,2171,0.846704933275228,0.09152233659215686,2.216802453268969e-20,0.011375518166712513,0.028622873430469285,0.6910522104698924,0.8353294151085155,0.09882965858985877,8.452213910554088,2.858302950727916e-17,0.08480123339114887,0.19974010000279463,2017,2262,93,91
core_leave_one_year_out,exclude_2017,1,False,usd,Dollar large,2171,-0.9429597778437637,0.3107797161210123,0.002411951626514413,-1.030775828651155,0.11448781436636751,2.188987987545168e-19,0.08781605080739148,0.3110674919546021,0.2823054580714836,0.7777093007842599,0.08480123339114887,0.19974010000279463,2017,2262,93,91
core_leave_one_year_out,exclude_2017,1,False,real_rate,Taux réel US 10 ans,2171,-0.013542865329120312,0.017776423610368637,0.44615299316768164,-0.056518081578815854,0.005649126533236066,1.4526255465981542e-23,0.04297521624969553,0.017980459745196006,2.390106641248569,0.016843481286017363,0.08480123339114887,0.19974010000279463,2017,2262,93,91
core_leave_one_year_out,exclude_2018,1,False,equity,Actions américaines,2013,0.8872646087491926,0.08627259564321313,8.282933866888687e-25,0.01709413236665925,0.030830853210089812,0.5792716742840895,0.8701704763825331,0.096525398957937,9.014937889681537,1.969820523777321e-19,0.09608144518916018,0.1972676751993182,2018,2262,250,249
core_leave_one_year_out,exclude_2018,1,False,usd,Dollar large,2013,-1.1202519646079845,0.3076573947398646,0.0002713364365921993,-0.9984722490965944,0.1236797497650714,6.856603311942429e-16,-0.12177971551139036,0.30624645598250116,-0.39765265240603737,0.6908862431735256,0.09608144518916018,0.1972676751993182,2018,2262,250,249
core_leave_one_year_out,exclude_2018,1,False,real_rate,Taux réel US 10 ans,2013,-0.010305101850847329,0.0180318624401013,0.5676648016433253,-0.058345756272850775,0.005869567843851669,2.777553059755209e-23,0.04804065442200346,0.018256705928392885,2.631397723687409,0.008503445736577278,0.09608144518916018,0.1972676751993182,2018,2262,250,249
core_leave_one_year_out,exclude_2019,1,False,equity,Actions américaines,2010,0.9387821543839365,0.09553735902100308,8.67168032968632e-23,0.02476047355451053,0.028599061073753793,0.3866112321331471,0.9140216808294259,0.10397698014527286,8.79061576468549,1.4874245563742225e-18,0.10048420324038865,0.20021941152743494,2019,2262,252,252
core_leave_one_year_out,exclude_2019,1,False,usd,Dollar large,2010,-0.8852832744464461,0.3143159263801792,0.0048544048076870315,-1.0504999407969644,0.11651467701606424,1.9502723197093762e-19,0.16521666635051857,0.31481621670027865,0.5248035443733619,0.5997197673555748,0.10048420324038865,0.20021941152743494,2019,2262,252,252
core_leave_one_year_out,exclude_2019,1,False,real_rate,Taux réel US 10 ans,2010,-0.010532815245930586,0.01804910173148821,0.5595133419743896,-0.052840556234021514,0.0057689005628961685,5.2112244626175355e-20,0.042307740988090946,0.01835932103772176,2.3044284100247414,0.021198606741949254,0.10048420324038865,0.20021941152743494,2019,2262,252,252
core_leave_one_year_out,exclude_2020,1,False,equity,Actions américaines,2009,0.9819237149323832,0.12783473074162915,1.576092285019488e-14,-0.011966381644106835,0.03500178184385017,0.7324417934143648,0.9938900965764906,0.1333864898301588,7.451205124612037,9.249142459604742e-14,0.06725927797074793,0.21168890455905054,2020,2262,253,253
core_leave_one_year_out,exclude_2020,1,False,usd,Dollar large,2009,-0.7038404151271814,0.3000064432702659,0.01897181451048965,-1.1578938983916467,0.1054355146888817,4.66427468139098e-28,0.45405348326446504,0.31348416855013433,1.4484096130419102,0.14750252789990204,0.06725927797074793,0.21168890455905054,2020,2262,253,253
core_leave_one_year_out,exclude_2020,1,False,real_rate,Taux réel US 10 ans,2009,-0.007971800185288225,0.020181388979769947,0.6928373464345665,-0.05334024837133258,0.0052129961847935885,1.4229877706358842e-24,0.045368448186044366,0.02031690724823419,2.233039095553655,0.025546366329940475,0.06725927797074793,0.21168890455905054,2020,2262,253,253
core_leave_one_year_out,exclude_2021,1,False,equity,Actions américaines,2010,0.8471334982516157,0.09469794244318419,3.6980778665008016e-19,0.011119269681468407,0.02988910416484062,0.7098798230406242,0.8360142285701472,0.10227941199110593,8.17382709086014,2.9875790169681164e-16,0.08209549465456778,0.19113715872254233,2021,2262,252,252
core_leave_one_year_out,exclude_2021,1,False,usd,Dollar large,2010,-0.748128321073397,0.3192616406384068,0.01911360280315639,-0.9900308959913968,0.11948616133283034,1.1738001235415805e-16,0.24190257491799966,0.3214812485533824,0.7524624717818694,0.4517729900699836,0.08209549465456778,0.19113715872254233,2021,2262,252,252
core_leave_one_year_out,exclude_2021,1,False,real_rate,Taux réel US 10 ans,2010,-0.02177775118095654,0.018428059019281427,0.23729646030258278,-0.0558984434902972,0.005924160520615306,3.884909253799892e-21,0.03412069230934066,0.018642731843365873,1.8302410073812605,0.06721390834348316,0.08209549465456778,0.19113715872254233,2021,2262,252,252
