horizon,condition,classification,n_overlapping_windows,btc_mean,gold_mean,spread_mean,spread_ci95_lo,spread_ci95_hi
1,equity_bottom_10pct,market_observable,227,-0.020678583886660044,-0.0011339514637262018,-0.019544632422933843,-0.026310605844814604,-0.012890502912893186
1,equity_bottom_5pct,market_observable,114,-0.030180476879210424,-0.00037473257266891177,-0.02980574430654151,-0.0398750620950956,-0.019389579370309162
1,vix_change_top_10pct,market_observable,227,-0.020695457218073064,-0.00039678425513983045,-0.020298672962933233,-0.028175425402319796,-0.012648097336729648
1,vix_change_top_5pct,market_observable,114,-0.03200813280792247,-0.0003284004469273885,-0.03167973236099508,-0.04322395059190704,-0.019908892699875225
1,vix_level_ge_30,market_observable,153,-0.0073902640676690315,0.0007942435849317942,-0.008184507652600826,-0.01934387983702714,0.00018082298716273466
1,baa_credit_widening_top_10pct,market_observable,262,-0.004764974950055283,0.004040445448267894,-0.008805420398323178,-0.014058604209013153,-0.0031073636965635023
1,baa_credit_widening_top_5pct,market_observable,171,-0.00557473950288824,0.004326629470882141,-0.009901368973770381,-0.016301147703104094,-0.0028210431773784224
1,nfci_ex_post_stress_top_10pct,EX_POST_REVISED_NFCI,214,-0.00652855922679609,0.0002088237940750536,-0.006737383020871144,-0.013156430759423628,-0.0004961359141067743
1,dollar_fall_bottom_10pct,market_observable,227,0.010117252713514484,0.00636697925715794,0.003750273456356544,-0.0014122119249554733,0.00833344834879217
1,real_rate_rise_top_10pct,market_observable,228,-0.004614834745052894,-0.005606611783051509,0.0009917770379986148,-0.0046498997514326755,0.006320697915508826
1,hy_oas_recent_widening_top_10pct,recent_window_only,76,-0.019683084101907566,0.0009677427258041327,-0.0206508268277117,-0.02859583636979671,-0.01225895828805218
5,equity_bottom_10pct,market_observable,225,-0.05684822915964563,-0.003969346035226345,-0.05287888312441928,-0.07802327513754861,-0.026104727990496884
5,equity_bottom_5pct,market_observable,113,-0.09237511823714706,-0.006563871299281983,-0.08581124693786507,-0.12095422624146436,-0.04640452946123419
5,vix_change_top_10pct,market_observable,225,-0.05292414407562914,-0.002614877951298481,-0.05030926612433066,-0.07639526641872002,-0.024845159876580546
5,vix_change_top_5pct,market_observable,113,-0.061159060375172165,-0.006237623363400014,-0.054921437011772156,-0.09718218537398943,-0.011550930121090302
5,vix_level_ge_30,market_observable,153,-0.0279987025107309,0.0037044173094239194,-0.03170311982015482,-0.07172893017610629,0.0012941794212506946
5,baa_credit_widening_top_10pct,market_observable,231,-0.02824520564420108,0.004415416840124116,-0.0326606224843252,-0.055134350610706484,-0.008867796317242202
5,baa_credit_widening_top_5pct,market_observable,118,-0.04371356418257168,0.005943164555944318,-0.049656728738516,-0.07888640340302656,-0.014030039305172031
5,nfci_ex_post_stress_top_10pct,EX_POST_REVISED_NFCI,214,-0.040147717002785036,0.0027112729126275016,-0.04285898991541254,-0.07002765301152658,-0.015347062699943424
5,dollar_fall_bottom_10pct,market_observable,225,0.020984424178356095,0.018818472517723495,0.0021659516606326,-0.01777360030483012,0.021312407130123116
5,real_rate_rise_top_10pct,market_observable,229,-0.021297997261865043,-0.013403150317388146,-0.007894846944476898,-0.03218638403883438,0.014842847389380458
5,hy_oas_recent_widening_top_10pct,recent_window_only,75,-0.03802128804361639,-0.001146855786057408,-0.03687443225755898,-0.06446580785233304,-0.0074052907603812095
20,equity_bottom_10pct,market_observable,222,-0.13425049844312456,-0.000711034279373092,-0.13353946416375145,-0.1918510383273787,-0.06697765104969998
20,equity_bottom_5pct,market_observable,111,-0.19097977288280474,-0.006200750366170281,-0.1847790225166345,-0.253624918247918,-0.11158201368444301
20,vix_change_top_10pct,market_observable,222,-0.08864184398874461,0.012360133744390978,-0.10100197773313557,-0.16679744816864286,-0.036784885736594185
20,vix_change_top_5pct,market_observable,111,-0.1338814640618928,0.016930929519771196,-0.15081239358166404,-0.23256700832599983,-0.07344208272575972
20,vix_level_ge_30,market_observable,153,-0.05531978626615755,0.013868487643134024,-0.06918827390929157,-0.16522500055715159,0.02272003620616897
20,baa_credit_widening_top_10pct,market_observable,231,-0.10272269517440143,0.01743283319997105,-0.12015552837437249,-0.20166562959789844,-0.033597633136061976
20,baa_credit_widening_top_5pct,market_observable,112,-0.12616757466072998,0.018714044006626986,-0.14488161866735697,-0.2537639281659431,-0.027338557525245718
20,nfci_ex_post_stress_top_10pct,EX_POST_REVISED_NFCI,213,-0.15906574810669116,0.009572961947648631,-0.1686387100543398,-0.25618624327840844,-0.08006231324612743
20,dollar_fall_bottom_10pct,market_observable,222,0.030859734391657834,0.04477737721860588,-0.013917642826948039,-0.10459391006642446,0.07097655614074046
20,real_rate_rise_top_10pct,market_observable,223,-0.06395022657335533,-0.02198308437337671,-0.04196714219997862,-0.11296938986409233,0.0336539416130698
20,hy_oas_recent_widening_top_10pct,recent_window_only,74,0.005008335030180035,0.028902689650461888,-0.023894354620281853,-0.09678825636133083,0.05560662348788415
