model,sample,horizon,winsorized,factor,factor_label,n,btc_beta,btc_se,btc_p,gold_beta,gold_se,gold_p,delta_beta,delta_se,delta_t,delta_p,btc_r2,gold_r2
credit_baa_standalone,full,1,False,credit_baa,Spread de crédit Baa,2262,-0.10699223606307987,0.051721567847833855,0.03858182068530545,0.04176737151669835,0.014865481739523468,0.004958948652329058,-0.14875960757977824,0.049500627773019064,-3.005206484691524,0.0026540061071102894,0.006695230661993845,0.015292936677752
hy_oas_recent_standalone,available_window_only,1,False,hy_oas_recent_change,HY OAS — fenêtre récente,750,-0.1300989754503758,0.018469352116989902,1.8673575829171347e-12,-0.0015789250394280564,0.009347084330216804,0.8658582585905878,-0.12852005041094774,0.020457814490053582,-6.282198446634323,3.3381834861510954e-10,0.09433070913202757,7.090578716051343e-05
credit_baa_standalone,full,5,False,credit_baa,Spread de crédit Baa,2250,-0.1557281339677815,0.0724962628455725,0.03170700449462119,0.002910968813221282,0.01877829042346117,0.8768073037080163,-0.15863910278100268,0.06566856618990959,-2.4157540203059686,0.01570266529913049,0.021351108852210476,0.0001228097428821462
hy_oas_recent_standalone,available_window_only,5,False,hy_oas_recent_change,HY OAS — fenêtre récente,746,-0.1340629853861301,0.02434215824471343,3.6408864565185515e-08,-0.012920753859998729,0.010661240684969982,0.22553643253457978,-0.12114223152613136,0.028249036216094803,-4.288366887968763,1.7999161342282936e-05,0.11637741067632101,0.0056958670964412095
credit_baa_standalone,full,20,False,credit_baa,Spread de crédit Baa,2212,-0.2819508266678794,0.046693097422870346,1.5566580133666345e-09,-0.009641301878881403,0.01256239863482812,0.44280033501433536,-0.27230952478899806,0.049631970751502,-5.486574896499697,4.0980171711379415e-08,0.08900093363110173,0.002304974560532247
hy_oas_recent_standalone,available_window_only,20,False,hy_oas_recent_change,HY OAS — fenêtre récente,731,-0.16977601969224598,0.04573280174681892,0.00020534636601129532,0.004215422885805205,0.013933562774031513,0.7622424802666421,-0.1739914425780511,0.04412804815214613,-3.942876466644473,8.0510130533306e-05,0.14775429214456692,0.0006322841479955432
